constraint_name                                                |child_schema|child_table                        |child_column                 |parent_schema|parent_table              |parent_column|
traveler_review_image_created_by_id_7cdb8f46_fk                |public      |traveler_review_image              |created_by_id                |public       |user                      |id           |
traveler_review_image_traveler_review_id_d3ccdbdf_fk           |public      |traveler_review_image              |traveler_review_id           |public       |traveler_reviews          |id           |
traveler_review_image_updated_by_id_8a949577_fk                |public      |traveler_review_image              |updated_by_id                |public       |user                      |id           |
traveler_reviews_booking_id_836cc88c_fk                        |public      |traveler_reviews                   |booking_id                   |public       |booking                   |id           |
traveler_reviews_created_by_id_71c968cf_fk                     |public      |traveler_reviews                   |created_by_id                |public       |user                      |id           |
traveler_reviews_traveler_country_id_822824e4_fk               |public      |traveler_reviews                   |traveler_country_id          |public       |country                   |id           |
traveler_reviews_updated_by_id_4695d24b_fk                     |public      |traveler_reviews                   |updated_by_id                |public       |user                      |id           |
user_groups_group_id_b76f8aba_fk_auth_group_id                 |public      |user_groups                        |group_id                     |public       |auth_group                |id           |
user_groups_user_id_abaea130_fk                                |public      |user_groups                        |user_id                      |public       |user                      |id           |
user_permission_parent_id_7dee3b63_fk                          |public      |user_permission                    |parent_id                    |public       |user_permission           |id           |
user_profile_lokafyer_created_by_id_1d1c12d3_fk                |public      |user_profile_lokafyer              |created_by_id                |public       |user                      |id           |
user_profile_lokafyer_interviewed_by_id_aacfbb01_fk            |public      |user_profile_lokafyer              |interviewed_by_id            |public       |lokafy_team_member_profile|id           |
user_profile_lokafyer_updated_by_id_91ce92dd_fk                |public      |user_profile_lokafyer              |updated_by_id                |public       |user                      |id           |
user_profile_lokafyer_user_id_be33aa09_fk                      |public      |user_profile_lokafyer              |user_id                      |public       |user                      |id           |
user_profile_lokafyer_languages_lokafyerlanguage_id_f9b2934e_fk|public      |user_profile_lokafyer_languages    |lokafyerlanguage_id          |public       |lokafyer_language         |id           |
user_profile_lokafyer_languages_lokafyerprofile_id_56e8ba66_fk |public      |user_profile_lokafyer_languages    |lokafyerprofile_id           |public       |user_profile_lokafyer     |id           |
user_profile_traveler_city_id_88927b83_fk                      |public      |user_profile_traveler              |city_id                      |public       |city                      |id           |
user_profile_traveler_user_id_fe065850_fk                      |public      |user_profile_traveler              |user_id                      |public       |user                      |id           |
user_profile_traveler_languages_language_id_1ae1ef40_fk        |public      |user_profile_traveler_languages    |language_id                  |public       |language                  |id           |
user_profile_traveler_languages_travelerprofile_id_884d99a9_fk |public      |user_profile_traveler_languages    |travelerprofile_id           |public       |user_profile_traveler     |id           |
user_user_permission_permission_id_9deb68a3_fk_auth_perm       |public      |user_user_permissions              |permission_id                |public       |auth_permission           |id           |
user_user_permissions_user_id_ed4a47ea_fk                      |public      |user_user_permissions              |user_id                      |public       |user                      |id           |
users_apiaccesstoken_user_id_f38b4a4a_fk_user_id               |public      |users_apiaccesstoken               |user_id                      |public       |user                      |id           |
